,Year,latbin,lonbin,WEIGHTED_INCIDENT_SCORE,RANK
175,2003,42.26,-71.865,33,0.008588298443370907
176,2003,42.26,-71.855,60,0.015834675254965107
177,2003,42.26,-71.85000000000001,36,0.00939345142243693
178,2003,42.26,-71.845,118,0.03140096618357488
179,2003,42.26,-71.84,51,0.013419216317767043
180,2003,42.26,-71.83500000000001,268,0.071658615136876
181,2003,42.26,-71.83,258,0.0689747718733226
182,2003,42.26,-71.825,580,0.15539452495974235
183,2003,42.26,-71.82000000000001,1858,0.49838969404186795
184,2003,42.26,-71.815,2200,0.5901771336553945
185,2003,42.26,-71.81,1876,0.5032206119162641
186,2003,42.26,-71.805,2629,0.7053140096618358
187,2003,42.26,-71.8,1578,0.4232420826623725
188,2003,42.26,-71.795,396,0.10601180891035963
189,2003,42.26,-71.79,376,0.10064412238325282
190,2003,42.26,-71.785,236,0.0630703166935051
191,2003,42.26,-71.78,74,0.019592055823939882
192,2003,42.26,-71.775,61,0.01610305958132045
193,2003,42.26,-71.77,119,0.03166935050993022
194,2003,42.26,-71.765,45,0.011808910359634998
195,2003,42.26,-71.76,15,0.0037573805689747716
196,2003,42.26,-71.755,59,0.01556629092860977
197,2003,42.265,-71.875,32,0.008319914117015567
198,2003,42.265,-71.865,1,0.0
199,2003,42.265,-71.855,23,0.005904455179817498
200,2003,42.265,-71.85000000000001,14,0.0034889962426194313
201,2003,42.265,-71.845,29,0.007514761137949543
202,2003,42.265,-71.84,205,0.05475040257648953
203,2003,42.265,-71.83500000000001,108,0.02871712292002147
204,2003,42.265,-71.83,242,0.06468062265163714
205,2003,42.265,-71.825,15,0.0037573805689747716
206,2003,42.265,-71.82000000000001,276,0.07380568974771873
207,2003,42.265,-71.815,982,0.2632850241545894
208,2003,42.265,-71.81,1195,0.32045088566827695
209,2003,42.265,-71.805,2477,0.6645195920558239
210,2003,42.265,-71.8,1396,0.3743961352657005
211,2003,42.265,-71.795,848,0.2273215244229737
212,2003,42.265,-71.79,554,0.14841653247450348
213,2003,42.265,-71.785,518,0.13875469672571122
214,2003,42.265,-71.78,104,0.027643585614600105
215,2003,42.265,-71.775,233,0.062265163714439076
216,2003,42.265,-71.77,44,0.011540526033279657
217,2003,42.265,-71.765,20,0.005099302200751475
218,2003,42.265,-71.76,73,0.01932367149758454
219,2003,42.27,-71.855,107,0.028448738593666128
220,2003,42.27,-71.85000000000001,61,0.01610305958132045
221,2003,42.27,-71.845,47,0.01234567901234568
222,2003,42.27,-71.84,86,0.02281266774020397
223,2003,42.27,-71.83500000000001,174,0.046430488459473965
224,2003,42.27,-71.83,81,0.021470746108427266
225,2003,42.27,-71.825,60,0.015834675254965107
226,2003,42.27,-71.82000000000001,519,0.13902308105206657
227,2003,42.27,-71.815,375,0.10037573805689748
228,2003,42.27,-71.81,660,0.17686527106816963
229,2003,42.27,-71.805,1034,0.2772410091250671
230,2003,42.27,-71.8,583,0.15619967793880837
231,2003,42.27,-71.795,894,0.2396672034353194
232,2003,42.27,-71.79,871,0.23349436392914655
233,2003,42.27,-71.785,281,0.07514761137949544
234,2003,42.27,-71.78,285,0.0762211486849168
235,2003,42.27,-71.775,325,0.08695652173913043
236,2003,42.27,-71.77,193,0.05152979066022544
237,2003,42.27,-71.765,151,0.040257648953301126
238,2003,42.27,-71.76,180,0.04804079441760601
239,2003,42.275,-71.885,21,0.0053676865271068165
240,2003,42.275,-71.88,20,0.005099302200751475
241,2003,42.275,-71.875,9,0.0021470746108427268
242,2003,42.275,-71.87,14,0.0034889962426194313
243,2003,42.275,-71.865,14,0.0034889962426194313
244,2003,42.275,-71.86,62,0.01637144390767579
245,2003,42.275,-71.855,309,0.08266237251744497
246,2003,42.275,-71.85000000000001,171,0.045625335480407946
247,2003,42.275,-71.845,50,0.013150831991411703
248,2003,42.275,-71.84,60,0.015834675254965107
249,2003,42.275,-71.83500000000001,126,0.0335480407944176
250,2003,42.275,-71.83,57,0.015029522275899088
251,2003,42.275,-71.825,60,0.015834675254965107
252,2003,42.275,-71.82000000000001,33,0.008588298443370907
253,2003,42.275,-71.815,68,0.017981749865807837
254,2003,42.275,-71.81,60,0.015834675254965107
255,2003,42.275,-71.805,130,0.03462157809983897
256,2003,42.275,-71.8,280,0.0748792270531401
257,2003,42.275,-71.795,877,0.23510466988727857
258,2003,42.275,-71.79,330,0.08829844337090714
259,2003,42.275,-71.785,76,0.020128824476650563
260,2003,42.275,-71.78,53,0.013955984970477725
261,2003,42.275,-71.77,110,0.02925389157273215
262,2003,42.275,-71.765,78,0.020665593129361243
263,2003,42.275,-71.76,15,0.0037573805689747716
264,2003,42.28,-71.885,26,0.006709608158883521
265,2003,42.28,-71.88,25,0.00644122383252818
266,2003,42.28,-71.875,92,0.024422973698336015
267,2003,42.28,-71.87,71,0.01878690284487386
268,2003,42.28,-71.865,23,0.005904455179817498
269,2003,42.28,-71.86,18,0.004562533548040794
270,2003,42.28,-71.855,54,0.014224369296833066
271,2003,42.28,-71.85000000000001,79,0.020933977455716585
272,2003,42.28,-71.845,19,0.004830917874396135
273,2003,42.28,-71.84,12,0.0029522275899087494
274,2003,42.28,-71.83500000000001,40,0.010466988727858293
275,2003,42.28,-71.83,29,0.007514761137949543
276,2003,42.28,-71.825,18,0.004562533548040794
277,2003,42.28,-71.82000000000001,22,0.005636070853462158
278,2003,42.28,-71.815,114,0.030327428878153515
279,2003,42.28,-71.81,441,0.11808910359634997
280,2003,42.28,-71.805,339,0.09071390230810521
281,2003,42.28,-71.8,157,0.04186795491143317
282,2003,42.28,-71.795,830,0.22249060654857755
283,2003,42.28,-71.79,218,0.058239398819108966
284,2003,42.28,-71.785,14,0.0034889962426194313
285,2003,42.28,-71.78,12,0.0029522275899087494
286,2003,42.28,-71.765,84,0.02227589908749329
287,2003,42.28,-71.76,18,0.004562533548040794
288,2003,42.285000000000004,-71.875,14,0.0034889962426194313
289,2003,42.285000000000004,-71.865,9,0.0021470746108427268
290,2003,42.285000000000004,-71.86,18,0.004562533548040794
291,2003,42.285000000000004,-71.855,7,0.0016103059581320453
292,2003,42.285000000000004,-71.85000000000001,21,0.0053676865271068165
293,2003,42.285000000000004,-71.845,25,0.00644122383252818
294,2003,42.285000000000004,-71.84,24,0.006172839506172839
295,2003,42.285000000000004,-71.83500000000001,25,0.00644122383252818
296,2003,42.285000000000004,-71.83,56,0.014761137949543748
297,2003,42.285000000000004,-71.825,29,0.007514761137949543
298,2003,42.285000000000004,-71.82000000000001,57,0.015029522275899088
299,2003,42.285000000000004,-71.815,121,0.0322061191626409
300,2003,42.285000000000004,-71.81,272,0.07273215244229737
301,2003,42.285000000000004,-71.805,286,0.07648953301127213
302,2003,42.285000000000004,-71.8,32,0.008319914117015567
303,2003,42.285000000000004,-71.795,213,0.056897477187332256
304,2003,42.285000000000004,-71.79,156,0.04159957058507783
305,2003,42.285000000000004,-71.78,20,0.005099302200751475
306,2003,42.285000000000004,-71.775,38,0.009930220075147612
307,2003,42.285000000000004,-71.765,24,0.006172839506172839
308,2003,42.285000000000004,-71.76,60,0.015834675254965107
309,2003,42.29,-71.865,7,0.0016103059581320453
310,2003,42.29,-71.855,39,0.010198604401502952
311,2003,42.29,-71.85000000000001,14,0.0034889962426194313
312,2003,42.29,-71.845,16,0.004025764895330112
313,2003,42.29,-71.84,42,0.011003757380568975
314,2003,42.29,-71.83500000000001,22,0.005636070853462158
315,2003,42.29,-71.825,38,0.009930220075147612
316,2003,42.29,-71.82000000000001,80,0.021202361782071924
317,2003,42.29,-71.815,106,0.02818035426731079
318,2003,42.29,-71.81,464,0.12426194310252281
319,2003,42.29,-71.805,662,0.1774020397208803
320,2003,42.29,-71.8,51,0.013419216317767043
321,2003,42.29,-71.795,74,0.019592055823939882
322,2003,42.29,-71.79,45,0.011808910359634998
323,2003,42.29,-71.785,115,0.030595813204508854
324,2003,42.29,-71.78,835,0.22383252818035426
325,2003,42.29,-71.775,369,0.09876543209876543
326,2003,42.29,-71.765,84,0.02227589908749329
327,2003,42.29,-71.76,19,0.004830917874396135
328,2003,42.295,-71.84,21,0.0053676865271068165
329,2003,42.295,-71.83,9,0.0021470746108427268
330,2003,42.295,-71.825,36,0.00939345142243693
331,2003,42.295,-71.82000000000001,8,0.001878690284487386
332,2003,42.295,-71.815,7,0.0016103059581320453
333,2003,42.295,-71.81,152,0.04052603327965647
334,2003,42.295,-71.805,878,0.23537305421363391
335,2003,42.295,-71.8,65,0.017176596886741814
336,2003,42.295,-71.795,33,0.008588298443370907
337,2003,42.295,-71.79,292,0.07809983896940419
338,2003,42.295,-71.785,77,0.020397208803005905
339,2003,42.295,-71.78,469,0.12560386473429952
340,2003,42.295,-71.775,266,0.07112184648416532
341,2003,42.295,-71.77,404,0.10815888352120236
342,2003,42.295,-71.765,149,0.03972088030059044
343,2003,42.295,-71.76,63,0.01663982823403113
344,2003,42.300000000000004,-71.85000000000001,53,0.013955984970477725
345,2003,42.300000000000004,-71.845,38,0.009930220075147612
346,2003,42.300000000000004,-71.84,44,0.011540526033279657
347,2003,42.300000000000004,-71.83500000000001,15,0.0037573805689747716
348,2003,42.300000000000004,-71.83,24,0.006172839506172839
349,2003,42.300000000000004,-71.825,22,0.005636070853462158
350,2003,42.300000000000004,-71.82000000000001,93,0.024691358024691357
351,2003,42.300000000000004,-71.815,12,0.0029522275899087494
352,2003,42.300000000000004,-71.81,116,0.030864197530864196
353,2003,42.300000000000004,-71.805,150,0.039989264626945784
354,2003,42.300000000000004,-71.8,328,0.08776167471819646
355,2003,42.300000000000004,-71.795,45,0.011808910359634998
356,2003,42.300000000000004,-71.79,124,0.033011272141706925
357,2003,42.300000000000004,-71.785,79,0.020933977455716585
358,2003,42.300000000000004,-71.78,451,0.12077294685990338
359,2003,42.300000000000004,-71.775,418,0.11191626409017713
360,2003,42.300000000000004,-71.77,821,0.2200751476113795
361,2003,42.300000000000004,-71.765,459,0.12292002147074611
362,2003,42.305,-71.84,27,0.006977992485238862
363,2003,42.305,-71.83500000000001,31,0.008051529790660227
364,2003,42.305,-71.83,53,0.013955984970477725
365,2003,42.305,-71.825,24,0.006172839506172839
366,2003,42.305,-71.82000000000001,15,0.0037573805689747716
367,2003,42.305,-71.815,28,0.007246376811594203
368,2003,42.305,-71.81,10,0.0024154589371980675
369,2003,42.305,-71.805,79,0.020933977455716585
370,2003,42.305,-71.8,189,0.05045625335480408
371,2003,42.305,-71.795,102,0.027106816961889425
372,2003,42.305,-71.79,129,0.03435319377348363
373,2003,42.305,-71.785,181,0.04830917874396135
374,2003,42.305,-71.78,108,0.02871712292002147
375,2003,42.305,-71.775,1217,0.3263553408480945
376,2003,42.305,-71.77,165,0.0440150295222759
377,2003,42.31,-71.83500000000001,34,0.00885668276972625
378,2003,42.31,-71.83,24,0.006172839506172839
379,2003,42.31,-71.82000000000001,70,0.018518518518518517
380,2003,42.31,-71.815,20,0.005099302200751475
381,2003,42.31,-71.81,25,0.00644122383252818
382,2003,42.31,-71.805,42,0.011003757380568975
383,2003,42.31,-71.8,182,0.048577563070316694
384,2003,42.31,-71.795,41,0.010735373054213635
385,2003,42.31,-71.79,150,0.039989264626945784
386,2003,42.31,-71.785,83,0.022007514761137947
387,2003,42.31,-71.78,76,0.020128824476650563
388,2003,42.31,-71.775,44,0.011540526033279657
389,2003,42.31,-71.77,6,0.0013419216317767041
390,2003,42.315,-71.825,77,0.020397208803005905
391,2003,42.315,-71.82000000000001,11,0.0026838432635534087
392,2003,42.315,-71.815,23,0.005904455179817498
393,2003,42.315,-71.81,7,0.0016103059581320453
394,2003,42.315,-71.805,310,0.08293075684380032
395,2003,42.315,-71.8,144,0.03837895866881374
396,2003,42.315,-71.795,52,0.013687600644122383
397,2003,42.315,-71.79,114,0.030327428878153515
398,2003,42.315,-71.78,117,0.031132581857219538
399,2003,42.315,-71.775,39,0.010198604401502952
400,2003,42.32,-71.815,9,0.0021470746108427268
401,2003,42.32,-71.81,16,0.004025764895330112
402,2003,42.32,-71.805,7,0.0016103059581320453
403,2003,42.32,-71.8,64,0.016908212560386472
404,2003,42.32,-71.795,205,0.05475040257648953
405,2003,42.32,-71.79,32,0.008319914117015567
406,2003,42.32,-71.785,8,0.001878690284487386
407,2003,42.32,-71.775,7,0.0016103059581320453
408,2003,42.325,-71.81,41,0.010735373054213635
409,2003,42.325,-71.805,120,0.03193773483628556
410,2003,42.325,-71.8,94,0.0249597423510467
411,2003,42.325,-71.795,191,0.05099302200751476
412,2003,42.325,-71.79,1,0.0
413,2003,42.33,-71.82000000000001,7,0.0016103059581320453
414,2003,42.33,-71.795,40,0.010466988727858293
415,2003,42.33,-71.79,66,0.017444981213097153
416,2003,42.33,-71.785,18,0.004562533548040794
417,2003,42.335,-71.79,45,0.011808910359634998
418,2003,42.365,-71.79,14,0.0034889962426194313
419,2004,0.0,0.0,84,0.02227589908749329
420,2004,42.165,-71.785,6,0.0013419216317767041
421,2004,42.21,-71.8,181,0.04830917874396135
422,2004,42.21,-71.795,14,0.0034889962426194313
423,2004,42.21,-71.79,12,0.0029522275899087494
424,2004,42.215,-71.805,46,0.012077294685990338
425,2004,42.215,-71.8,156,0.04159957058507783
426,2004,42.215,-71.785,61,0.01610305958132045
427,2004,42.22,-71.81,7,0.0016103059581320453
428,2004,42.22,-71.805,301,0.08051529790660225
429,2004,42.22,-71.8,74,0.019592055823939882
430,2004,42.22,-71.795,14,0.0034889962426194313
431,2004,42.22,-71.79,8,0.001878690284487386
432,2004,42.22,-71.785,54,0.014224369296833066
433,2004,42.22,-71.78,14,0.0034889962426194313
434,2004,42.22,-71.77,17,0.0042941492216854536
435,2004,42.225,-71.86,7,0.0016103059581320453
436,2004,42.225,-71.855,22,0.005636070853462158
437,2004,42.225,-71.85000000000001,44,0.011540526033279657
438,2004,42.225,-71.845,45,0.011808910359634998
439,2004,42.225,-71.84,14,0.0034889962426194313
440,2004,42.225,-71.81,14,0.0034889962426194313
441,2004,42.225,-71.805,71,0.01878690284487386
442,2004,42.225,-71.8,138,0.03676865271068169
443,2004,42.225,-71.795,141,0.03757380568974772
444,2004,42.225,-71.79,77,0.020397208803005905
445,2004,42.225,-71.785,21,0.0053676865271068165
446,2004,42.225,-71.765,40,0.010466988727858293
447,2004,42.225,-71.76,132,0.03515834675254965
448,2004,42.230000000000004,-71.86,7,0.0016103059581320453
449,2004,42.230000000000004,-71.855,30,0.007783145464304884
450,2004,42.230000000000004,-71.85000000000001,151,0.040257648953301126
451,2004,42.230000000000004,-71.845,48,0.01261406333870102
452,2004,42.230000000000004,-71.84,67,0.017713365539452495
453,2004,42.230000000000004,-71.83500000000001,28,0.007246376811594203
454,2004,42.230000000000004,-71.83,10,0.0024154589371980675
455,2004,42.230000000000004,-71.825,44,0.011540526033279657
456,2004,42.230000000000004,-71.82000000000001,147,0.039184111647879764
457,2004,42.230000000000004,-71.815,14,0.0034889962426194313
458,2004,42.230000000000004,-71.81,54,0.014224369296833066
459,2004,42.230000000000004,-71.805,23,0.005904455179817498
460,2004,42.230000000000004,-71.8,534,0.14304884594739667
461,2004,42.230000000000004,-71.795,129,0.03435319377348363
462,2004,42.230000000000004,-71.79,94,0.0249597423510467
463,2004,42.230000000000004,-71.77,3,0.0005367686527106817
464,2004,42.230000000000004,-71.765,28,0.007246376811594203
465,2004,42.230000000000004,-71.76,49,0.01288244766505636
466,2004,42.230000000000004,-71.755,70,0.018518518518518517
467,2004,42.230000000000004,-71.75,30,0.007783145464304884
468,2004,42.235,-71.865,7,0.0016103059581320453
469,2004,42.235,-71.86,52,0.013687600644122383
470,2004,42.235,-71.855,107,0.028448738593666128
471,2004,42.235,-71.85000000000001,232,0.061996779388083734
472,2004,42.235,-71.845,5,0.0010735373054213634
473,2004,42.235,-71.84,37,0.009661835748792272
474,2004,42.235,-71.83500000000001,33,0.008588298443370907
475,2004,42.235,-71.83,14,0.0034889962426194313
476,2004,42.235,-71.82000000000001,96,0.02549651100375738
477,2004,42.235,-71.815,221,0.059044551798174985
478,2004,42.235,-71.81,66,0.017444981213097153
479,2004,42.235,-71.805,34,0.00885668276972625
480,2004,42.235,-71.8,273,0.07300053676865272
481,2004,42.235,-71.795,149,0.03972088030059044
482,2004,42.235,-71.79,59,0.01556629092860977
483,2004,42.235,-71.785,72,0.019055287171229198
484,2004,42.235,-71.77,141,0.03757380568974772
485,2004,42.235,-71.765,56,0.014761137949543748
486,2004,42.235,-71.76,43,0.011272141706924315
487,2004,42.235,-71.755,158,0.04213633923778851
488,2004,42.235,-71.75,205,0.05475040257648953
489,2004,42.235,-71.745,9,0.0021470746108427268
490,2004,42.235,-71.74,14,0.0034889962426194313
491,2004,42.235,-71.735,7,0.0016103059581320453
492,2004,42.24,-71.865,263,0.0703166935050993
493,2004,42.24,-71.86,27,0.006977992485238862
494,2004,42.24,-71.855,238,0.06360708534621579
495,2004,42.24,-71.85000000000001,336,0.08990874932903918
496,2004,42.24,-71.845,568,0.15217391304347827
497,2004,42.24,-71.84,281,0.07514761137949544
498,2004,42.24,-71.83500000000001,182,0.048577563070316694
499,2004,42.24,-71.83,699,0.1873322597960279
500,2004,42.24,-71.825,489,0.13097155126140633
501,2004,42.24,-71.82000000000001,403,0.10789049919484701
